"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"67b14f9bdea52e202ee04fc0","107efa4a-574f-45d7-875e-3c99191bd7be","PHYSICAL","merch","wu-limited-edition-eco-hoodie","WU-Limited Edition ECO - Hoodie","If there’s one fashion rule to live by, let it be that comfort doesn’t have to be compromised for the sake of style. Pair the super-soft unisex eco raglan hoodie with joggers for a relaxed look, or elevate the outfit with a skirt, oversized blazer, or classic trousers. The hoodie’s brushed inside ensures a comfy and snug feel, and will keep you warm during the colder days.<br />
<br />
• Outside: 100% organic cotton<br />
• Charcoal melange is 60% cotton, 40% recycled polyester<br />
• Inside for all colors: 80% organic cotton, 20% recycled polyester<br />
• Brushed lining<br />
• Regular fit<br />
• Raglan sleeves<br />
• Ribbed cuffs and hem<br />
• Drawstrings with metal eyelets and stoppers<br />
• Jersey-lined hood<br />
• Blank product sourced from Bangladesh<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!","67B14F98C055F_XS","Size","XS","","","","","","","","","","","77.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739673502184-81REDI8JW4F4OUJX9QCG/unisex-eco-raglan-hoodie-black-front-67b14f947b87b.jpg https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739673503362-YUYZ7NTLBSTLJQYK9QWK/unisex-eco-raglan-hoodie-black-left-67b14f947c5c3.jpg https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739673504477-WMJ9YBZJPA8BKN9MRYRR/unisex-eco-raglan-hoodie-black-right-67b14f947c7f2.jpg https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739673505848-8WN2UQVCTSI7OFF5Q44V/unisex-eco-raglan-hoodie-black-back-67b14f947c9c3.jpg"
"","86158ae0-3816-4ffc-a8fc-7805579c75f3","","","","","","67B14F98C055F_S","Size","S","","","","","","","","","","","77.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","245f18f0-5f3f-4ce5-bdee-36dab2f2589d","","","","","","67B14F98C055F_M","Size","M","","","","","","","","","","","77.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","4b6e8b8d-a14a-40b8-9f80-189c4beeec73","","","","","","67B14F98C055F_L","Size","L","","","","","","","","","","","77.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","8ff24d58-f319-4257-8771-65aaa8cf76dd","","","","","","67B14F98C055F_XL","Size","XL","","","","","","","","","","","77.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","e2bea273-9098-4079-bd18-8cca4fe92d15","","","","","","67B14F98C055F_2XL","Size","2XL","","","","","","","","","","","82.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","511d5261-9727-4175-966f-b64d26c4b0c1","","","","","","67B14F98C055F_3XL","Size","3XL","","","","","","","","","","","86.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"67b1511fdea52e202ee0508b","b873dec3-5acd-4b2d-8bd7-997efdeb1051","PHYSICAL","merch","einstein-limited-edition-eco-hoodie","Einstein Limited Edition ECO Hoodie","Meet the premium eco hoodie made of organic and recycled materials. With its comfortable fit, front pouch pocket, and double-layered hood, the hoodie is a classic streetwear piece that can be styled with multiple different looks.<br />
<br />
• 85% organic cotton, 15% recycled polyester<br />
• Ribbing: 97% organic cotton, 3% elastane<br />
• Brushed fleece fabric inside<br />
• Comfortable unisex fit<br />
• Double-layered hood<br />
• Flat drawcords with metal eyelets for a premium feel<br />
• Kangaroo pocket<br />
• Inside/outside label patch for branding<br />
• Tear-away care label<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!","67B1511C1AD1B_XS","Size","XS","","","","","","","","","","","91.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739673889565-C3ZL2PBPWEWJQWKW0964/premium-eco-hoodie-black-front-67b151170d5ed.jpg https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739674469775-88RWTP22U10EB9X6DB91/premium-eco-hoodie-black-front-67b1535fed428.jpg https://images.squarespace-cdn.com/content/v1/6786a71a8e66022d03e88bc4/1739674471333-R6VFORONAAD6Q6I64XLI/premium-eco-hoodie-black-back-67b1535fedf61.jpg"
"","9d17931a-b386-4926-a443-a9100d03bf32","","","","","","67B1511C1AD1B_S","Size","S","","","","","","","","","","","91.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","f56ef675-5706-4dda-aa73-4d4eefdc2527","","","","","","67B1511C1AD1B_M","Size","M","","","","","","","","","","","91.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
